
Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
,,Broken Rice,2260.0,3100.0,2632.0
22/12/2023,17.0,Sona,4160.0,5800.0,4674.0
,,Broken Rice,2680.0,3200.0,3080.0
Market Name : Gangavathi APMC
01/12/2023,42.0,Other,4350.0,5150.0,4400.0
04/12/2023,26.0,Other,4565.0,4565.0,4565.0
06/12/2023,27.0,Other,4514.0,5200.0,4550.0
,,Broken Rice,2860.0,2860.0,2860.0
07/12/2023,7.0,Broken Rice,2315.0,2315.0,2315.0
,,Other,4300.0,4315.0,4300.0
11/12/2023,55.0,Other,4400.0,5110.0,4400.0
,,Broken Rice,1950.0,2600.0,1950.0
12/12/2023,8.0,Other,5341.0,5350.0,5341.0
13/12/2023,2.0,Other,5356.0,5356.0,5356.0
15/12/2023,8.0,Other,2610.0,2610.0,2610.0
16/12/2023,4.0,Other,4545.0,4545.0,4545.0
18/12/2023,17.0,Other,4211.0,4400.0,4215.0
19/12/2023,49.0,Other,4730.0,4730.0,4730.0
,,Broken Rice,2635.0,2640.0,2635.0
20/12/2023,19.0,Other,4530.0,5350.0,4530.0
21/12/2023,44.0,Other,4680.0,4700.0,4700.0
26/12/2023,42.0,Broken Rice,2850.0,2950.0,2900.0
27/12/2023,25.0,Other,4700.0,4700.0,4700.0
,,Broken Rice,2650.0,2650.0,2650.0
Market Name : Gowribidanoor APMC
17/12/2023,25.0,Sona,2500.0,4000.0,3225.0
20/12/2023,30.0,Sona,2500.0,4000.0,3100.0
30/12/2023,9.0,Sona,3500.0,5500.0,4500.0
Market Name : Hassan APMC
01/12/2023,18.0,Other,4766.0,4766.0,4766.0
04/12/2023,8.0,Other,5630.0,5630.0,5630.0
05/12/2023,20.0,Other,3200.0,5200.0,4600.0
13/12/2023,11.0,Coarse,3200.0,6100.0,5382.0
16/12/2023,25.0,Other,2500.0,5883.0,3133.0
19/12/2023,24.0,Other,3766.0,7100.0,5021.0
20/12/2023,4.0,Other,3200.0,4500.0,3886.0
28/12/2023,5.0,Other,3900.0,5560.0,4500.0
29/12/2023,288.0,Other,3204.0,5160.0,4150.0
30/12/2023,41.0,Other,3194.0,3194.0,3194.0
Market Name : Hoskote APMC
28/12/2023,1.0,Pusa Basmati Raw (New),6000.0,6000.0,6000.0
Market Name : Kalburgi APMC
01/12/2023,6.999999000000001,Coarse,3150.0,4400.0,4000.0
,,Broken Rice,2150.0,3150.0,2600.0
,,Fine,4550.0,6250.0,5560.0
02/12/2023,9.0,Coarse,3050.0,4500.0,3800.0
,,Fine,4600.0,6200.0,5500.0
,,Broken Rice,2100.0,3000.0,2600.0
04/12/2023,6.999999000000001,Coarse,3200.0,4300.0,3800.0
,,Fine,4500.0,6600.0,5400.0
,,Broken Rice,2150.0,3100.0,2600.0
05/12/2023,6.999999000000001,Broken Rice,2200.0,3000.0,2650.0
,,Fine,4550.0,6500.0,5400.0
,,Coarse,3100.0,4250.0,3800.0
06/12/2023,9.0,Fine,4525.0,6600.0,5550.0
,,Broken Rice,2150.0,3000.0,2600.0
,,Coarse,3000.0,4300.0,3800.0
07/12/2023,6.0,Broken Rice,1800.0,2800.0,2400.0
,,Fine,4500.0,6500.0,5500.0
,,Coarse,3000.0,4200.0,3800.0
08/12/2023,9.0,Coarse,3050.0,4200.0,3600.0
,,Broken Rice,2150.0,2900.0,2550.0
,,Fine,4250.0,6600.0,5555.0
11/12/2023,8.000001,Coarse,3150.0,4050.0,3650.0
,,Fine,4200.0,6500.0,5500.0
,,Broken Rice,2000.0,3000.0,2500.0
13/12/2023,9.999999,Broken Rice,2150.0,3100.0,2600.0
,,Coarse,3200.0,4100.0,3650.0
,,Fine,4350.0,6400.0,5550.0
14/12/2023,9.0,Broken Rice,2100.0,3000.0,2650.0
,,Fine,4500.0,6500.0,5500.0
,,Coarse,3300.0,4400.0,3900.0
15/12/2023,9.0,Coarse,3000.0,4000.0,3500.0
,,Broken Rice,2100.0,3000.0,2650.0
,,Fine,4150.0,6550.0,5500.0
16/12/2023,8.000001,Coarse,3200.0,4400.0,3800.0
,,Fine,4550.0,6200.0,5250.0
,,Broken Rice,2100.0,3100.0,2600.0
18/12/2023,9.0,Fine,4500.0,6300.0,5500.0
,,Coarse,3150.0,4250.0,3800.0
,,Broken Rice,2000.0,3000.0,2500.0
19/12/2023,9.0,Broken Rice,2200.0,3000.0,2600.0
,,Coarse,3100.0,4400.0,3800.0
,,Fine,4500.0,6500.0,5500.0
20/12/2023,9.0,Fine,4500.0,6500.0,5500.0
,,Coarse,3150.0,4200.0,3800.0
,,Broken Rice,2000.0,3000.0,2500.0
21/12/2023,9.0,Coarse,3100.0,4400.0,3800.0
,,Broken Rice,2000.0,3000.0,2500.0
,,Fine,4500.0,6600.0,5650.0
22/12/2023,9.999999,Broken Rice,2000.0,3000.0,2475.0
,,Coarse,3150.0,4300.0,3800.0
,,Fine,4450.0,6550.0,5600.0
26/12/2023,9.999999,Broken Rice,2100.0,3000.0,2600.0
,,Fine,4100.0,6000.0,5500.0
,,Coarse,3000.0,4200.0,3150.0
27/12/2023,9.999999,Broken Rice,2000.0,3000.0,2500.0
,,Fine,4200.0,6200.0,5250.0
,,Coarse,3100.0,4000.0,3600.0
28/12/2023,9.0,Broken Rice,2100.0,3000.0,2600.0
,,Fine,4600.0,6200.0,5300.0
,,Coarse,3000.0,4400.0,3800.0
29/12/2023,9.0,Coarse,3000.0,4350.0,3800.0
,,Fine,4500.0,6200.0,5500.0
,,Broken Rice,2200.0,3000.0,2600.0
30/12/2023,6.0,Fine,4350.0,6200.0,5550.0
,,Coarse,3100.0,4200.0,3650.0
,,Broken Rice,2100.0,3050.0,2600.0
Market Name : Kolar APMC
01/12/2023,90.0,Fine,5400.0,5800.0,5670.0
22/12/2023,164.0,Fine,5600.0,6000.0,5880.0
29/12/2023,82.0,Fine,5700.0,6000.0,5900.0
,,Broken Rice,2700.0,3000.0,2930.0
Market Name : Malur APMC
01/12/2023,18.0,Sona,4000.0,5500.0,4285.0
26/12/2023,16.0,Sona,4000.0,5000.0,4370.0
Market Name : Mulabagilu APMC
29/12/2023,55.0,Other,3500.0,4500.0,4000.0
Market Name : Mysore (Bandipalya) APMC
01/12/2023,87.0,Fine,11290.0,11290.0,11290.0
,,Sona Mansoori Non Basmati,3850.0,5230.0,4500.0
02/12/2023,64.0,Fine,3100.0,5200.0,4500.0
04/12/2023,103.0,Basmati,4500.0,6205.0,4800.0
,,Broken Rice,3100.0,3100.0,3100.0
13/12/2023,99.0,Broken Rice,3004.0,3004.0,3004.0
,,Fine,6600.0,6600.0,6600.0
,,Sona Mansoori Non Basmati,3700.0,6100.0,5000.0
15/12/2023,164.0,Sona Mansoori Non Basmati,3800.0,5930.0,5500.0
,,Fine,5390.0,5450.0,5390.0
26/12/2023,83.000001,Broken Rice,3150.0,3200.0,3150.0
,,Basmati,3800.0,5360.0,4800.0
,,Fine,6100.0,7100.0,6700.0
27/12/2023,267.999999,Fine,4800.0,6850.0,5935.0
,,Basmati,4070.0,5650.0,5070.0
,,Broken Rice,3000.0,3130.0,3130.0
29/12/2023,129.0,Fine,5800.0,7195.0,6565.0
,,Basmati,4100.0,5600.0,4600.0
30/12/2023,40.0,Fine,5930.0,6950.0,6500.0
,,Sona Mansoori Non Basmati,3250.0,5100.0,4800.0
Market Name : Ramanagara APMC
08/12/2023,4.0,Fine,6000.0,7250.0,6500.0
13/12/2023,9.0,Fine,6000.0,7300.0,6400.0
16/12/2023,17.0,Fine,5800.0,7300.0,7000.0
27/12/2023,1.0,Fine,6000.0,6250.0,6100.0
Market Name : Shimoga APMC
01/12/2023,84.0,Coarse,1900.0,2700.0,2300.0
,,Fine,3900.0,7000.0,5250.0
,,Medium,2800.0,4500.0,3650.0
02/12/2023,36.0,Coarse,1900.0,2700.0,2300.0
,,Fine,3900.0,7000.0,5250.0
,,Medium,2800.0,4500.0,3650.0
04/12/2023,30.0,Medium,2800.0,4500.0,3650.0
,,Fine,3900.0,7000.0,5250.0
,,Coarse,1900.0,2700.0,2300.0
05/12/2023,35.000001,Medium,2800.0,4500.0,3650.0
,,Coarse,1900.0,2700.0,2250.0
,,Fine,3900.0,7000.0,5250.0
06/12/2023,35.000001,Fine,3900.0,7000.0,5300.0
,,Coarse,1900.0,2700.0,2250.0
,,Medium,2800.0,4500.0,3650.0
07/12/2023,39.0,Fine,3900.0,7000.0,5250.0
,,Coarse,1900.0,2700.0,2250.0
,,Medium,2800.0,4500.0,3650.0
08/12/2023,35.000001,Medium,2800.0,4500.0,3650.0
,,Fine,3900.0,7000.0,5250.0
,,Coarse,1900.0,2700.0,2250.0
11/12/2023,57.999999,Coarse,1900.0,2700.0,2250.0
,,Fine,3900.0,7000.0,5250.0
,,Medium,2800.0,4500.0,3650.0
12/12/2023,30.0,Medium,2800.0,4500.0,3650.0
,,Fine,3900.0,7000.0,5250.0
,,Coarse,1900.0,2700.0,2250.0
13/12/2023,23.000001,Medium,2800.0,4500.0,3650.0
,,Coarse,1900.0,2700.0,2300.0
,,Fine,3900.0,7000.0,5300.0
14/12/2023,36.0,Fine,3900.0,7000.0,5300.0
,,Medium,2800.0,4500.0,3650.0
,,Coarse,1900.0,2700.0,2300.0
15/12/2023,33.999999,Medium,2800.0,4500.0,3650.0
,,Fine,3900.0,7000.0,5300.0
,,Coarse,1900.0,2700.0,2300.0
16/12/2023,39.0,Coarse,1900.0,2700.0,2300.0
,,Fine,3900.0,7000.0,5250.0
,,Medium,2800.0,4500.0,3650.0
18/12/2023,63.0,Coarse,1900.0,2700.0,2250.0
,,Fine,3900.0,7000.0,5250.0
,,Medium,2800.0,4500.0,3650.0
19/12/2023,41.000001,Coarse,1900.0,2700.0,2250.0
,,Fine,3900.0,7000.0,5250.0
,,Medium,2800.0,4500.0,3650.0
20/12/2023,20.000001,Medium,2800.0,4500.0,3650.0
,,Fine,3900.0,7000.0,5250.0
,,Coarse,1900.0,2700.0,2250.0
21/12/2023,30.999999,Medium,2800.0,4500.0,3650.0
,,Coarse,1900.0,2700.0,2250.0
,,Fine,3900.0,7000.0,5250.0
22/12/2023,35.000001,Medium,2800.0,4500.0,3650.0
,,Coarse,1900.0,2700.0,2250.0
,,Fine,3900.0,7000.0,5250.0
26/12/2023,86.000001,Medium,2800.0,4500.0,3650.0
,,Coarse,1900.0,2700.0,2250.0
,,Fine,3900.0,7500.0,5250.0
27/12/2023,44.000001,Coarse,1900.0,2700.0,2300.0
,,Fine,3900.0,7500.0,5300.0
,,Medium,2800.0,4500.0,3700.0
28/12/2023,38.000001,Fine,3900.0,7500.0,5250.0
,,Coarse,1900.0,2700.0,2300.0
,,Medium,2800.0,4500.0,3700.0
29/12/2023,29.000001,Medium,2800.0,4500.0,3700.0
,,Fine,3900.0,7500.0,5300.0
,,Coarse,1900.0,2700.0,2300.0
30/12/2023,15.0,Fine,3900.0,7500.0,5300.0
,,Coarse,1900.0,2700.0,2300.0
,,Medium,2800.0,4500.0,3700.0
